Código,Nome,CNPJ
MATRIZ,MATRIZ CORRETORA DE SEGUROS LTDA,00238278000100
SPZ,SPZ ADMINISTRADORA E CORRETORA DE SEGUROS LTDA,00284013000130
KES,K E S ADMINISTRADORA E CORRETORA DE SEGUROS LTDA,00472408000166
VMCORRET,VIDA MELHOR CORRETORA DE SEGUROS LTDA,00675671000152
COSTA,COSTA LEAO CORRETORA DE SEGUROS LTDA,00967929000194
L.LEAL,L.LEAL CORRETORA DE SEGUROS LTDA,01103377000139
EXODUS,EXODUS CORRETORA DE SEGUROS S/C LTDA,01200145000107
TOTALSEG,TOTAL SEG CORRETORA DE SEGUROS S/S LTDA.,01269171000183
A&L,A&L PRESTADORA DE SERVIÇOS LTDA,01646821000162
VASRIBAS,V A S RIBAS CORRETORA DE SEGUROS,01695037000144
QUIRON,QUIRON ADMINISTRADORA E CORRETORA DE SEGUROS - EIRELI,01726216000100
ATUAL,ATUAL SECURE CORRETORA DE SEGUROS LTDA,01886436000192
PREVITURO,PREVITURO CORRETORA DE SEGUROS DE VIDA LTDA,02139781000125
CIRELLI,CIRELLI FISIOTERAPIA S/S LTDA,02170273000100
URI,URI CONSULTORIA & CORRETORA DE SEGUROS LTDA,02261263000180
LASEG,LASEG ALFA ADMINISTRADORA E CORRETORA DE SEGUROS LTDA,02434450000118
ARAFER,ARAFER CORRETORA DE SEGUROS LTDA,02612535000149
MULTIATO,MULTIATOS CORRETORA DE SEGUROS S/S LTDA,02837069000108
CARLA,CARLA TALARICO KAMOI - INFORMATICA,02983274000173
PLENTY,VERA & JURANDYR CORRETORA E ADMINISTRADORA DE SEGUROS SS LTDA.,03070080000140
ASAEURO,"ASAEURO CONSULTORIA, PLANEJAMENTO E TREINAMENTO LTDA",03267182000150
SILCON,SILCON CORRETORA DE SEGUROS S/S LTDA,03749334000150
DAQUI,DAQUIPRAFORA CONSULTORIA EDUCACIONAL LTDA,03889560000137
MAJESEG,MAJESEG CORRETORA DE SEGUROS LTDA,03975768000179
FRENTE,FRENTE CORRETORA DE SEGUROS DO ABC LTDA,04113990000125
AKIUM,AKIUM ASSESSORIA E CORRETAGEM DE SEGUROS LTDA,04170566000112
ATRIBUTO,ATRIBUTO CORRETORA DE SEGUROS LTDA,04199040000165
GALESCO,GALESCO ADVOGADOS ASSOCIADOS,04228754000154
PATREZE,PATREZE ADMINISTRADORA E CORRETORA DE SEGUROS LTDA,04279021000149
BORUS,BORUS CORRETORA DE SEGUROS LTDA,04426668000156
SERVICO,PAULISTA SERVICOS E COMERCIO DE EQUIPAMENTOS DE SEGURANCA LTDA,04616130000104
CARPEDIE,CARPE DIEM BUSINESS SOLUTIONS E SERVICOS LTDA.,04795066000176
STYLE,STYLE - TREINAMENTO E MARKETING LTDA,05133972000178
D3,D 3 PROJETOS LTDA,05144762000185
MCLIMA,M.C.LIMA ADMINISTRATORA E CORRETORA DE SEGUROS - EIRELI,05477749000148
PGMCORRE,"SP INTERMEDIACOES, GESTAO E VENDAS LTDA",05809557000191
ACTA,ACTA CORRETORA DE SEGUROS LTDA,05832412000101
WARP,WARP CORRETORA DE SEGUROS LTDA,05858569000106
ANCLACOR,ANCLA CONSULTORIA E CORRETAGEM DE SEGUROS LTDA,05892349000107
MAG DIAGNOSTICOS,MAG DIAGNOSTICOS E SERVICOS MEDICOS LTDA,05941769000128
SONHOS,SONHOS CORRETORA DE SEGUROS LTDA,06000404000161
MEGAERA,MEGAERA CORRETORA DE SEGUROS LTDA,06247587000114
RAFAEL AUGUSTO,RAFAEL AUGUSTO GALESCO,06253232000138
SEQUOIA,SEQUOIA PARTICIPACOES E EMPREENDIMENTOS LTDA,06297751000106
PITOCO,PITOCO PET-SHOP LTDA,06307120000112
GUILHERME CESAR,GUILHERME CESAR KHOURI CORRETAGEM DE SEGUROS,06871582000168
SILNET,SILNET - CORRETORA DE SEGUROS LTDA,06892155000166
VISAOGLO,VISAO GLOBAL CORRETORA DE SEGUROS LTDA,06982013000190
ZALBERTO,ZALBERTOS CONSULTORIA EM INFORMATICA LTDA,06993788000160
MALAGOLI,MALAGOLI ADMINISTRACAO CONSULTORIA E CORRETORAGEM DE SEGUROS LTDA.,07036727000178
CENTRAL LASER,CENTRAL LASER SP COMERCIO DE EQUIPAMENTO MEDICOS E ODONTOLOGICOS EIRELI,07171927000133
FELIXBIL,FLEXIBILIDADE ADMINISTRADORA E CORRETORA DE SEGUROS LTDA,07247456000108
SOUZAMIC,SOUZA & MICHELETTI - CORRETORA DE SEGUROS LTDA,07289532000130
RENOVAWI,RENOVAWIL CORRETORA DE SEGUROS LTDA,07440547000157
PRIE,PRI-E PLANEJADORA DE RECURSOS DE INFORMATICA E INFRA-ESTRUTURA LTDA,07452174000134
ASB ONLINE,ASB ONLINE CORRETORA DE SEGUROS E PREVIDENCIA LTDA,07727267000124
LKJ,LKJ CORRETORA DE SEGUROS LTDA.,07735977000104
ATRI,ATRI CORRETORA DE SEGUROS LTDA.,07774263000105
MASTERCOB,MASTERCOB - LG LTDA,07872208000140
WOLTRA,WOLTRA CORRETORA DE SEGUROS LTDA,07986412000191
C C SPRACKLING,C C SPRACKLING,08482255000140
AGUA,AGUA LAVE LAVANDERIA E TINTURARIA LTDA,08537302000105
NEWPHASE,NEW PHASE CORRETORA DE SEGUROS LTDA,08627347000170
RE9,RE-9 - DESIGN E COMUNICACAO LTDA.,08651479000138
ZAVERI,LINKS LIFE CORRETORA DE SEGUROS E PREVIDENCIA - EIRELI,08656374000171
EFETIVES,EFETIVESEG CORRETORA DE SEGUROS LTDA,08817820000182
CLEITON,CLEITON GOMES DA SILVA - EIRELI,08836774000169
SOUSAVAL,SOUZA & VALENTE CORRETORA DE SEGUROS LTDA,09043483000186
B4F,B4F ASSESSORIA E PARTICIPACOES LTDA,09187739000129
LEELA,LEELA ESTUDIO PROJETOS E SERVICOS LTDA,09372409000103
SMART,SMART SOLUTION - ADMINISTRADORA E CORRETORA DE SEGUROS LTDA,09415442000173
M BORGES,M BORGES MARKETING DIGITAL LTDA,09449321000142
PNTUR,PNTUR VIAGENS E TURISMO LTDA.,09458079000173
HALIFAX,HALIFAX CORRETORA DE SEGUROS LTDA.,09528783000155
VISUS - MATRIZ,VISUS - MATRIZ,09561307000136
VISUS RECIFE,VISUS RECIFE,09561307000217
VISUS SP,VISUS SP,09561307000489
TODAO,TODAO CORRETORA DE SEGUROS LTDA,09645277000146
SOUTH,GLOBO PAULISTA CORRETORA DE SEGUROS LTDA,09654142000147
SANTOSNA,FLAVIO DA SILVA FINI,10322339000168
AMPC,AMPC CORRETORA DE SEGUROS LTDA.,10510812000130
DENIS,DENIS VIVALDINI RIBEIRO DE LIMA - EIRELI,10682354000117
P,PAULISTA MANUTENCOES CONDOMINIAIS LTDA.,10904959000105
RECICLE,RECICLE CORRETORA DE SEGUROS LTDA,10922303000115
CAZARIN,CAZARIN PAULO CORRETORA DE SEGUROS LTDA,10933007000110
GUDMAN,GUDMAN CORRETORA DE SEGUROS EIRELI,11029847000115
XEL,XEL. COM INTERMEDIACOES LTDA.,11085397000188
LUMAX,VISIONAR PARTICIPACOES S.A.,11135069000149
MADEU,MADEU E FARACO SERVICOS MEDICOS LTDA,11246809000114
RINOMED,RINOMED SERVICOS MEDICOS EIRELI,11250988000163
AUWEN,AUWEN ASSESSORIA E CORRETAGEM DE SEGUROS - EIRELI,11257670000104
FINI & QUEIROZ,FINI & QUEIROZ - CORRETORA DE SEGUROS LTDA,11280421000130
